Central,Recurso,Punto_de_ medición,X_coord,Y_coord,Frecuencia ,Norma_tabla,Parámetro,Fecha,Medición,Observación
Mazar,Agua de rio,Antes de la unión con el río paute,764452,9713106,Semestral,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,28/08/2020 16:30,1.8,
Mazar,Agua de rio,Antes de la unión con el río paute,764452,9713106,Semestral,Acuerdo_ministerial 97a_tabla 2,Nitratos,28/08/2020 16:30,1.4,
Mazar,Agua de rio,Antes de la unión con el río paute,764452,9713106,Semestral,Acuerdo_ministerial 97a_tabla 2,Nitritos,28/08/2020 16:30,0.007,
Mazar,Agua de rio,Antes de la unión con el río paute,764452,9713106,Semestral,Acuerdo_ministerial 97a_tabla 2,pH,28/08/2020 16:30,7.32,
Mazar,Agua de rio,Antes de la unión con el río paute,764452,9713106,Semestral,Acuerdo_ministerial 97a_tabla 2,Turbiedad,28/08/2020 16:30,4.73,
Mazar,Agua de rio,Antes de la central alazán,760333,9715272,Anual,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,20/11/2020 16:45,1.8,
Mazar,Agua de rio,Antes de la central alazán,760333,9715272,Anual,Acuerdo_ministerial 97a_tabla 2,pH,20/11/2020 16:45,7.05,
Mazar,Agua de rio,Antes de la central alazán,760333,9715272,Anual,Acuerdo_ministerial 97a_tabla 2,Turbiedad,20/11/2020 16:45,29.66,
Mazar,Agua de rio,Antes de la unión con el río paute,764452,9713106,Anual,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,20/11/2020 16:05,1.8,
Mazar,Agua de rio,Antes de la unión con el río paute,764452,9713106,Anual,Acuerdo_ministerial 97a_tabla 2,Nitratos,20/11/2020 16:05,1.4,
Mazar,Agua de rio,Antes de la unión con el río paute,764452,9713106,Anual,Acuerdo_ministerial 97a_tabla 2,pH,20/11/2020 16:05,6.99,
Mazar,Agua de rio,Antes de la unión con el río paute,764452,9713106,Anual,Acuerdo_ministerial 97a_tabla 2,Turbiedad,20/11/2020 16:05,12.63,
Mazar,Agua de rio,Antes de la central alazán,,,,,,,,
;760333;9715272;Anual;Acuerdo_ministerial 97a_tabla 2;Coliformes fecales;17/5/2021 15:10;180;,,,,,,,,,,
Mazar,Agua de rio,Antes de la central alazán,,,,,,,,
;760333;9715272;Anual;Acuerdo_ministerial 97a_tabla 2;DBO5;17/5/2021 15:10;46.08;,,,,,,,,,,
Mazar,Agua de rio,Antes de la central alazán,,,,,,,,
;760333;9715272;Anual;Acuerdo_ministerial 97a_tabla 2;DQO;17/5/2021 15:10;100;,,,,,,,,,,
Mazar,Agua de rio,Antes de la central alazán,,,,,,,,
;760333;9715272;Anual;Acuerdo_ministerial 97a_tabla 2;Nitritos;17/5/2021 15:10;0.007;,,,,,,,,,,
Mazar,Agua de rio,Antes de la central alazán,,,,,,,,
;760333;9715272;Anual;Acuerdo_ministerial 97a_tabla 2;pH;17/5/2021 15:10;6.68;,,,,,,,,,,
Mazar,Agua de rio,Antes de la central alazán,,,,,,,,
;760333;9715272;Anual;Acuerdo_ministerial 97a_tabla 2;Turbiedad;17/5/2021 15:10;912;,,,,,,,,,,
Mazar,Agua de rio,Antes de la unión con el río paute,,,,,,,,
;764452;9713106;Anual;Acuerdo_ministerial 97a_tabla 2;Coliformes fecales;17/5/2021 16:15;180;,,,,,,,,,,
Mazar,Agua de rio,Antes de la unión con el río paute,,,,,,,,
;764452;9713106;Anual;Acuerdo_ministerial 97a_tabla 2;DBO5;17/5/2021 16:15;61.2;,,,,,,,,,,
Mazar,Agua de rio,Antes de la unión con el río paute,,,,,,,,
;764452;9713106;Anual;Acuerdo_ministerial 97a_tabla 2;DQO;17/5/2021 16:15;147;,,,,,,,,,,
Mazar,Agua de rio,Antes de la unión con el río paute,,,,,,,,
;764452;9713106;Anual;Acuerdo_ministerial 97a_tabla 2;pH;17/5/2021 16:15;6.13;,,,,,,,,,,
Mazar,Agua de rio,Antes de la unión con el río paute,,,,,,,,
;764452;9713106;Anual;Acuerdo_ministerial 97a_tabla 2;Turbiedad;17/5/2021 16:15;1210;,,,,,,,,,,
Molino,Agua de rio,Pie_de_presa_daniel_palacios                                                                                                                                                                                                                              ,770863,9712648,Semestral,Acuerdo_ministerial 97a_tabla 2,Turbiedad,19/03/2018 16:05,521,
Molino,Agua de rio,Pie_de_presa_daniel_palacios                                                                                                                                                                                                                              ,770863,9712648,Semestral,Acuerdo_ministerial 97a_tabla 2,DBO5,19/03/2018 16:05,15.99,
Molino,Agua de rio,Pie_de_presa_daniel_palacios                                                                                                                                                                                                                              ,770863,9712648,Semestral,Acuerdo_ministerial 97a_tabla 2,DQO,19/03/2018 16:05,34.83,
Molino,Agua de rio,Pie_de_presa_daniel_palacios                                                                                                                                                                                                                              ,770863,9712648,Semestral,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,19/03/2018 16:05,1,
Molino,Agua de rio,Pie_de_presa_daniel_palacios                                                                                                                                                                                                                              ,770863,9712648,Semestral,Acuerdo_ministerial 97a_tabla 2,pH,19/03/2018 16:05,8,
Molino,Agua de rio,Amaluza                                                                                                                                                                                                                                           ,771211,9711176,Semestral,Acuerdo_ministerial 97a_tabla 2,Turbiedad,18/03/2018 14:55,142,
Molino,Agua de rio,Amaluza                                                                                                                                                                                                                                           ,771211,9711176,Semestral,Acuerdo_ministerial 97a_tabla 2,DBO5,18/03/2018 14:55,1.41,
Molino,Agua de rio,Amaluza                                                                                                                                                                                                                                           ,771211,9711176,Semestral,Acuerdo_ministerial 97a_tabla 2,DQO,18/03/2018 14:55,2.94,
Molino,Agua de rio,Amaluza                                                                                                                                                                                                                                           ,771211,9711176,Semestral,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,18/03/2018 14:55,100,
Molino,Agua de rio,Amaluza                                                                                                                                                                                                                                           ,771211,9711176,Semestral,Acuerdo_ministerial 97a_tabla 2,pH,18/03/2018 14:55,8.06,
Molino,Agua de rio,Chorro blanco,774278,9709212,Semestral,Acuerdo_ministerial 97a_tabla 2,Turbiedad,18/03/2018 14:25,12.6,
