Central,Recurso,Punto_de_medición,X_coord,Y_coord,Frecuencia ,Norma_tabla,Parámetro,Fecha,Medición,Observación
Sopladora,Suelo ,Taller_automotriz_livianos_p1                                                                                                                                                                                                                  ,783420,9711582,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Vanadio,20/03/2018 9:21,19.68,
Sopladora,Suelo ,Taller_automotriz_livianos_p1                                                                                                                                                                                                                  ,783420,9711582,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Aceites y grasas,20/03/2018 9:21,2094.3,
Sopladora,Suelo ,Taller_automotriz_livianos_p1                                                                                                                                                                                                                  ,783420,9711582,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Hidrocarburos_aromáticos_policiclicos,20/03/2018 9:21,0.06,
Sopladora,Suelo ,Taller_automotriz_livianos_p1                                                                                                                                                                                                                  ,783420,9711582,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Bifenilos policlorados pcbs,20/03/2018 9:21,0.001,
Sopladora,Suelo ,Taller_automotriz_livianos_p1                                                                                                                                                                                                                  ,783420,9711582,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Benceno,20/03/2018 9:21,0.01,
Sopladora,Suelo ,Taller_automotriz_livianos_p1                                                                                                                                                                                                                  ,783420,9711582,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Etilbenceno,20/03/2018 9:21,0.01,
Sopladora,Suelo ,Taller_automotriz_livianos_p1                                                                                                                                                                                                                  ,783420,9711582,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Tolueno,20/03/2018 9:21,0.01,
Sopladora,Suelo ,Taller_automotriz_livianos_p1                                                                                                                                                                                                                  ,783420,9711582,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Xileno,20/03/2018 9:21,0.01,
Sopladora,Suelo ,Taller_automotriz_livianos_p1                                                                                                                                                                                                                  ,783420,9711582,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Clorobenceno,20/03/2018 9:21,0.02,
Sopladora,Suelo ,Taller_automotriz_livianos_p1                                                                                                                                                                                                                  ,783420,9711582,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Estireno,20/03/2018 9:21,0.02,
Sopladora,Suelo ,Taller_automotriz_livianos_p2                                                                                                                                                                                                                  ,783418,9711594,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,pH,20/03/2018 9:24,7.69,
Sopladora,Suelo ,Taller_automotriz_livianos_p2                                                                                                                                                                                                                  ,783418,9711594,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Cromo hexavalente,20/03/2018 9:24,0.01,
Sopladora,Suelo ,Taller_automotriz_livianos_p2                                                                                                                                                                                                                  ,783418,9711594,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Cobre,20/03/2018 9:24,43.08,
Sopladora,Suelo ,Taller_automotriz_livianos_p2                                                                                                                                                                                                                  ,783418,9711594,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Níquel,20/03/2018 9:24,23.07,
Sopladora,Suelo ,Taller_automotriz_livianos_p2                                                                                                                                                                                                                  ,783418,9711594,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Plomo,20/03/2018 9:24,10.9,
Sopladora,Suelo ,Taller_automotriz_livianos_p2                                                                                                                                                                                                                  ,783418,9711594,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Vanadio,20/03/2018 9:24,21.77,
Sopladora,Suelo ,Taller_automotriz_livianos_p2                                                                                                                                                                                                                  ,783418,9711594,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Aceites y grasas,20/03/2018 9:24,2268.9,
Sopladora,Suelo ,Taller_automotriz_livianos_p2                                                                                                                                                                                                                  ,783418,9711594,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Hidrocarburos_aromáticos_policiclicos,20/03/2018 9:24,0.07,
Sopladora,Suelo ,Taller_automotriz_livianos_p2                                                                                                                                                                                                                  ,783418,9711594,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Bifenilos policlorados pcbs,20/03/2018 9:24,0.001,
Sopladora,Suelo ,Taller_automotriz_livianos_p2                                                                                                                                                                                                                  ,783418,9711594,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Benceno,20/03/2018 9:24,0.01,
Sopladora,Suelo ,Taller_automotriz_livianos_p2                                                                                                                                                                                                                  ,783418,9711594,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Etilbenceno,20/03/2018 9:24,0.01,
Sopladora,Suelo ,Taller_automotriz_livianos_p2                                                                                                                                                                                                                  ,783418,9711594,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Tolueno,20/03/2018 9:24,0.01,
