Central,Recurso,Punto_de_medición,X_coord,Y_coord,Frecuencia ,Norma_tabla,Parámetro,Fecha,Medición,Observación
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Anual,Acuerdo_ministerial 97a_tabla 1,pH,16/05/2021 17:40,"5,43",
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Anual,Acuerdo_ministerial 97a_tabla 1,Turbiedad,16/05/2021 17:40,"0,7",
Molino,Agua cruda,Quebrada_campamento,777930,9714120,Anual,Acuerdo_ministerial 97a_tabla 1,Coliformes fecales,16/05/2021 13:40,300,
Molino,Agua cruda,Quebrada_campamento,777930,9714120,Anual,Acuerdo_ministerial 97a_tabla 1,Color real,16/05/2021 13:40,6,
Molino,Agua cruda,Quebrada_campamento,777930,9714120,Anual,Acuerdo_ministerial 97a_tabla 1,DBO5,16/05/2021 13:40,"0,37",
Molino,Agua cruda,Quebrada_campamento,777930,9714120,Anual,Acuerdo_ministerial 97a_tabla 1,DQO,16/05/2021 13:40,4,
Molino,Agua cruda,Quebrada_campamento,777930,9714120,Anual,Acuerdo_ministerial 97a_tabla 1,Hierro,16/05/2021 13:40,"1,7",
Molino,Agua cruda,Quebrada_campamento,777930,9714120,Anual,Acuerdo_ministerial 97a_tabla 1,pH,16/05/2021 13:40,6,
Molino,Agua cruda,Quebrada_campamento,777930,9714120,Anual,Acuerdo_ministerial 97a_tabla 1,Turbiedad,16/05/2021 13:40,"0,7",
Sopladora,Agua cruda,Quebrada_campamento,783201,9711764,Semestral,Acuerdo_ministerial 97a_tabla 1,Coliformes fecales,18/03/2018 9:10,1,
Sopladora,Agua cruda,Quebrada_campamento,783201,9711764,Semestral,Acuerdo_ministerial 97a_tabla 1,Color real,18/03/2018 9:10,18,
Sopladora,Agua cruda,Quebrada_campamento,783201,9711764,Semestral,Acuerdo_ministerial 97a_tabla 1,DBO5,18/03/2018 9:10,"1,44",
Sopladora,Agua cruda,Quebrada_campamento,783201,9711764,Semestral,Acuerdo_ministerial 97a_tabla 1,Hierro,18/03/2018 9:10,0,
Sopladora,Agua cruda,Quebrada_campamento,783201,9711764,Semestral,Acuerdo_ministerial 97a_tabla 1,pH,18/03/2018 9:10,"7,72",
Sopladora,Agua cruda,Quebrada_campamento,783201,9711764,Semestral,Acuerdo_ministerial 97a_tabla 1,Turbiedad,18/03/2018 9:10,"0,34",
Sopladora,Agua cruda,Casa_de_máquinas ,783740,9712914,Semestral,Acuerdo_ministerial 97a_tabla 1,Coliformes fecales,18/03/2018 11:35,1,
Sopladora,Agua cruda,Casa_de_máquinas ,783740,9712914,Semestral,Acuerdo_ministerial 97a_tabla 1,Color real,18/03/2018 11:35,20,
Sopladora,Agua cruda,Casa_de_máquinas ,783740,9712914,Semestral,Acuerdo_ministerial 97a_tabla 1,DBO5,18/03/2018 11:35,"1,83",
